FID,lon,lat
"128","-118.253766042014846","34.080798550525763"
"795","-118.254675610759165","34.080302293868776"
"1443","-118.251865773046205","34.075396306952491"
"6593","-118.254766755679938","34.087362446238146"
"7171","-118.249810733005646","34.089095721713448"
"12789","-118.251446426847565","34.086671268046963"
"14678","-118.249913454753639","34.085907719916435"
"16568","-118.253953699069058","34.076765591971281"
"17825","-118.250155962654361","34.086478796501900"
"19225","-118.250589456239524","34.082789633611512"
"20912","-118.251466873966706","34.076569103415650"
"23454","-118.249044759008115","34.085207740810333"
"23847","-118.255892728823923","34.081258390730689"
"25340","-118.252399350019815","34.088230686604504"
"25609","-118.254500103217921","34.079865811615022"
"26328","-118.248866200805182","34.088548015757915"
"31368","-118.251065725305153","34.085106015566261"
"33533","-118.255050084474163","34.075271839194961"
"34303","-118.255857415847004","34.088996181059720"
"36763","-118.246226075069501","34.088120319626015"
"37546","-118.255259483035701","34.083293909355454"
"38319","-118.256828960637662","34.083007324270824"
"42317","-118.249478017021644","34.085041011366620"
"42353","-118.249863291244154","34.088689377654354"
"46117","-118.252376901918566","34.085823113514046"
"47241","-118.255051415172673","34.077566003829808"
"49449","-118.250298018074275","34.085525051235763"
"53916","-118.253737174090233","34.074868611008171"
"55711","-118.253757181888204","34.088579359494410"
"55785","-118.251275041946144","34.084746771500555"
"56049","-118.255478525522761","34.074342215653964"
"59522","-118.248595768558644","34.087403676505403"
"60040","-118.248741599366639","34.087591572042072"
"61763","-118.256232122175234","34.085745877389648"
"62580","-118.253115200846281","34.088704946991719"
"62934","-118.253419475386039","34.078902897182964"
"63343","-118.254233900219660","34.076806018428343"
"67587","-118.255570093288938","34.082749656247906"
"68521","-118.248053942454959","34.087706775780305"
"69312","-118.251651486767443","34.077184054139096"
"71756","-118.251980925857140","34.083662832218252"
"75112","-118.254409295827074","34.089140835246937"
"76019","-118.254160702710621","34.078457058795095"
"76533","-118.251354585110775","34.074681877426357"
"76982","-118.248288264152677","34.087720627448135"
"82085","-118.252612270038455","34.087232930425188"
"83147","-118.253692529145553","34.080664030794502"
"83501","-118.255284184734407","34.076595093302977"
"85017","-118.250364590447518","34.086514548877162"
"88407","-118.255693894186436","34.079242196895208"
"90557","-118.255015849659102","34.079562950810711"
"94669","-118.251306029347077","34.081548676075570"
"94903","-118.251368182602960","34.081353254381256"
"97232","-118.254324159337216","34.078958594266801"
"98107","-118.256483991745597","34.088708413229917"
"98166","-118.252420897658922","34.087927462697586"
"99441","-118.251020659751802","34.076735971440471"
"100996","-118.256581369447503","34.087376363684832"
"101640","-118.256026519458956","34.081511330313674"
"106806","-118.255445099302435","34.077805467707023"
"107327","-118.257250692334225","34.078982790723764"
"108100","-118.251436276521446","34.076699274263177"
"109485","-118.255409131803845","34.085061708914758"
"111218","-118.254081823184293","34.086779663949507"
"116925","-118.246909692641438","34.087729216546265"
"117201","-118.256310922907886","34.077872368944412"
"118205","-118.248344780675325","34.086697413138509"
"118990","-118.248500696248144","34.087572377327312"
"119958","-118.256539864655338","34.077523736913939"
"123821","-118.252821403718485","34.081122012692013"
"124232","-118.249581032910882","34.087626322968831"
