name,year,denom_total_pop,Pollution Burden Percentile,
Florence-Firestone,2021,64355,74,
University Park,2021,24221,43,
Hollywood Hills West,2021,14741,20,
Unincorporated Santa Monica Mountains,2021,23009,19,
West Los Angeles,2021,13489,40,
Hancock Park,2021,10336,52,
Canoga Park,2021,61973,57,
Chesterfield Square,2021,8357,57,
Hidden Hills,2021,2315,28,
Norwalk,2021,104237,61,
North El Monte,2021,2290,77,
Monterey Park,2021,60714,36,
Hollywood,2021,72336,59,
Fairfax,2021,13677,43,
Glassell Park,2021,24148,74,
Watts,2021,43975,76,
La Verne,2021,31823,52,
Rancho Palos Verdes,2021,41708,10,
Green Meadows,2021,36266,62,
Del Aire,2021,8914,79,
Vermont Knolls,2021,23222,49,
Castaic,2021,11222,24,
Westwood,2021,54992,25,
Venice,2021,34371,47,
South Diamond Bar,2021,5263,10,
Universal City,2021,146,80,
Pacific Palisades,2021,23000,26,
Bel-Air,2021,6709,37,
East Pasadena,2021,5839,71,
Cudahy,2021,24213,81,
Palos Verdes Estates,2021,13101,15,
Ladera Heights,2021,12000,49,
Walnut Park,2021,15701,37,
La Crescenta-Montrose,2021,18113,27,
Gardena,2021,59393,72,
Duarte,2021,21357,46,
La Mirada,2021,48742,32,
Maywood,2021,25285,81,
Alondra Park,2021,8509,52,
Beverly Grove,2021,21276,47,
Vermont Vista,2021,26815,64,
Lawndale,2021,32590,56,
Hyde Park,2021,36524,35,
Lomita,2021,19838,42,
South Pasadena,2021,25570,48,
Westmont,2021,35147,24,
San Pasqual,2021,1952,6,
West Hollywood,2021,36374,54,
Artesia,2021,16692,46,
Manhattan Beach,2021,35388,26,
West Carson,2021,22016,76,
Hermosa Beach,2021,19487,21,
Carthay,2021,5126,52,
Beverly Hills,2021,34148,42,
El Segundo,2021,16712,59,
View Park-Windsor Hills,2021,11732,17,
Sierra Madre,2021,10920,6,
Gramercy Park,2021,10861,33,
Aggregated,2021,10039568,51,
