FID,lon,lat
2239,-118.209708732302985,34.045501617558642
4096,-118.203349710939861,34.041684442655061
22246,-118.207197229328315,34.043951747263392
23765,-118.207620549430700,34.043092673230682
27707,-118.206969258505751,34.044835956211379
30617,-118.201972086773040,34.045393541522905
33440,-118.205221188432020,34.043029646700575
46192,-118.204718154633241,34.041930761144783
46816,-118.206988425838404,34.042059995766188
54361,-118.202956470085738,34.043295318552914
62006,-118.204782340857406,34.045549999773840
64954,-118.209178286378005,34.042476754979454
88066,-118.208973780137583,34.044096613758086
111389,-118.206397252657354,34.042082031345181
117441,-118.204752054077858,34.044787365026117
120421,-118.201459757104502,34.044094531571247
126418,-118.206957767383685,34.046318644762394
134227,-118.203927964412159,34.046727116746851
138687,-118.207070978713844,34.041463990218439
140107,-118.208604842717676,34.042374176991331
144593,-118.204651643035561,34.042743042652425
148379,-118.206519924818807,34.040646948413361
158967,-118.202148175988157,34.045435106492029
163135,-118.201413168654284,34.044939081899223
165006,-118.207787145841138,34.042923299799924
165530,-118.202722391490994,34.046051738874311
166373,-118.205807630982889,34.043132112960329
167094,-118.202979812897283,34.041266015350885
177787,-118.204685460330666,34.045134312870559
199975,-118.200951880345286,34.044954411158450
217719,-118.207510948888526,34.044073115814022
219306,-118.202050229863033,34.045403599135774
231533,-118.201713040481678,34.042236128656164
236604,-118.202522936448403,34.043894755451710
238262,-118.201711714325299,34.046288879753561
252941,-118.205876680199083,34.046632263157832
260821,-118.200473229203354,34.045121412488264
274853,-118.209207883019999,34.041356415480500
295998,-118.203385488667237,34.042376683272373
296440,-118.209250764421057,34.044835177090228
304649,-118.205935259115577,34.043882970921445
306994,-118.205109994080857,34.046656014568441
317053,-118.203151742827856,34.043774974467674
322697,-118.200662433863116,34.046093520292715
324176,-118.207883011553406,34.040974447313054
333130,-118.203557590016956,34.043976614421801
334688,-118.208051415600821,34.045057993071218
343614,-118.202794565315443,34.046559653786936
360410,-118.201838559045456,34.043300842278171
371655,-118.202369036713023,34.043122507096811
378679,-118.208915425369099,34.046396802782411
382458,-118.205682972691633,34.041672402407620
385821,-118.202370165708203,34.044123506149390
388509,-118.208594939908366,34.045799348944577
392315,-118.205002395386614,34.045482912483983
396676,-118.208709339770635,34.044699819674882
411674,-118.201606504873993,34.046203334426608
415504,-118.206171003444979,34.041710901852198
416625,-118.202838658768954,34.042317104681615
423502,-118.201370697403846,34.041005796912664
434152,-118.201413873088541,34.041762896483419
457140,-118.200902814358585,34.046545684726198
473469,-118.204465569859636,34.046591989489585
493666,-118.207153317766384,34.041311677516347
498727,-118.201976357543785,34.042471632440005
498762,-118.208470102330125,34.043414387033721
504392,-118.202689455540678,34.044639825701772
513062,-118.209247730178674,34.042789901829465
518267,-118.208333704612329,34.042046779839794
531153,-118.204550243930441,34.040628387909344
537158,-118.209412381301377,34.045688502798548
541935,-118.205618106106641,34.043978066492997
575494,-118.209180061290724,34.043975545913177
581486,-118.205484968333721,34.042837680036357
582124,-118.201645107156878,34.046635826159410
584698,-118.208324408833604,34.044140874563610
585449,-118.205208019268838,34.046692929534672
589103,-118.207222210917735,34.043421237484480
590155,-118.200828903042421,34.043608306925080
597562,-118.200635081395760,34.045536468378842
598796,-118.205292739335079,34.042114509149357
598802,-118.206607608540764,34.042707626942907
600045,-118.200707013485001,34.046028154476957
602852,-118.209574462653578,34.046574288717345
605645,-118.200601794365326,34.042252397550122
605944,-118.203758607329306,34.041642563308322
606473,-118.208705172330355,34.046696467585058
606859,-118.207489802343900,34.041205566471319
613945,-118.207631300580246,34.040641446707269
615123,-118.205742507616762,34.044041776703871
620956,-118.201849736381035,34.042710948574538
625138,-118.201757059712634,34.043052739201769
628799,-118.204473637441325,34.041186457716442
644117,-118.209199856679206,34.042622636056635
645226,-118.204323245604002,34.041123000753082
645930,-118.201268203280080,34.044799816136702
652658,-118.205362681543477,34.041085759047647
662114,-118.202790052379100,34.046700380371533
675769,-118.203036876983802,34.046227219925896
696719,-118.206037812357465,34.044699004991045
718327,-118.201291537864407,34.041845255027518
721253,-118.202054487864913,34.042941613853642
723322,-118.203279139871555,34.041750063836517
728564,-118.205951605030165,34.043201041855149
729229,-118.201717144988436,34.046213074571611
733363,-118.207024990988799,34.044640617984498
734177,-118.200639165122084,34.046748462150333
735714,-118.208828518031339,34.041646922193245
739319,-118.205769269766435,34.044095622826632
752215,-118.202701753959417,34.045510854464823
781459,-118.205311057179898,34.044787296032425
785804,-118.200554292856879,34.046722236784603
793392,-118.208114528236166,34.042633307131496
813251,-118.200866776684620,34.040761820531934
828872,-118.203381279506686,34.042998973999140
830167,-118.203177495141915,34.045598183542964
830518,-118.207828679754243,34.044935732026907
834500,-118.201806274047385,34.041012361159098
845576,-118.204853815913225,34.044169529293661
847405,-118.207707071997277,34.044152352057630
848506,-118.209518169159082,34.041694247276872
848642,-118.207383325417084,34.043782182877024
855151,-118.203093532481446,34.046556728045587
860256,-118.207674786166820,34.043708978633688
860447,-118.206325063563526,34.044328247815493
861603,-118.202052457240399,34.041415769262692
862078,-118.205487078900205,34.045283369272703
881677,-118.204260173928319,34.042638660950189
882195,-118.207654765115620,34.040462657688657
893894,-118.201362297897006,34.043175636833944
898643,-118.206799252682117,34.043847437678927
903859,-118.209212058006685,34.045771636429485
910074,-118.208008549977023,34.042493666194900
911343,-118.201849420361995,34.046374107264491
918062,-118.208743315692402,34.041139138915895
924961,-118.204169122861273,34.045853605809668
929427,-118.208850469036605,34.040445494818080
936084,-118.205314838713406,34.042298261859067
940038,-118.209167782895378,34.044484287509562
941456,-118.209308226785822,34.040641194578683
944792,-118.205965686512073,34.043736579132187
960793,-118.202693828677795,34.043568431698517
975607,-118.207291608664718,34.044648821468840
987584,-118.208165768236881,34.044412976862048
993757,-118.205344210348727,34.042995975324089
1012949,-118.202920429968756,34.045806312212655
1023799,-118.200439701318061,34.040435928631531
1035631,-118.200780554369558,34.044328424426283
1060278,-118.202358711292945,34.043311988390052
1060987,-118.207758229575319,34.040883688624639
1064572,-118.206857527447440,34.041996350556524
1080125,-118.202586212810502,34.046074714663199
1105506,-118.202453531935660,34.042661757014287
1110679,-118.203967950092917,34.044037526348340
1120092,-118.202631928134295,34.041485853848812
1131447,-118.204790151466881,34.046561754326817
1154210,-118.208993831246318,34.041845498389527
1165372,-118.205185388636039,34.041877483595940
1166633,-118.204051524918384,34.045811470848967
1167297,-118.201230782356916,34.045833656995988
1185874,-118.201598437450073,34.041945062079883
1189774,-118.206274373118177,34.044420729900331
1189916,-118.203722128624278,34.045960790154830
1193773,-118.203284794652461,34.042150412578025
1197958,-118.202598384411885,34.045095229281912
1203661,-118.201302863098604,34.044031134524069
1209244,-118.202267308241275,34.045125522125019
1230819,-118.206985250493801,34.040918334696073
1237214,-118.208191503646702,34.040727926957764
1239673,-118.202266612498775,34.045536754595034
1242444,-118.203479299729878,34.043035890472467
1251590,-118.207095171852941,34.046382225854323
1253279,-118.208462372791814,34.044702247809568
1253838,-118.206466379437785,34.042373539568416
1253891,-118.207002691207450,34.045360481427345
1255059,-118.209555425804894,34.046606941185807
1265145,-118.207362815252139,34.041417837406769
1276093,-118.202964212348519,34.041542122219845
1289742,-118.203418835828359,34.040596181781204
1302723,-118.202429376789354,34.042331930445492
1305478,-118.200739983992278,34.045600374105291
1313050,-118.203197771252320,34.043812400009415
1324959,-118.205507392003682,34.043962919691275
1327791,-118.204614653886566,34.044723781205292
1331785,-118.207842045091638,34.041294090765732
1343525,-118.205164208091318,34.041758652217212
1344030,-118.202543627417981,34.045820820701927
1348762,-118.203743083692643,34.042843927461760
1366595,-118.203139759141962,34.041545815122809
1370094,-118.207714839994125,34.045158695795983
1384113,-118.209283443086221,34.045305600349984
1392418,-118.201827655696235,34.042067271297434
1395727,-118.201773069234918,34.041883835462755
1398428,-118.206391934792634,34.045837221825003
1414885,-118.202969407229077,34.041910010308655
1419969,-118.204001214520630,34.046390925874647
1423574,-118.205073446842079,34.041315851028543
1428368,-118.202838194557103,34.042744567633960
1428571,-118.201095122900796,34.046354425569596
1433721,-118.203621352741905,34.045729109861917
1434714,-118.204558992298246,34.044924528569958
1441614,-118.208136150760438,34.042324675493930
1449061,-118.203588410779702,34.042017579528348
1457583,-118.208993765769563,34.044588805443652
1462315,-118.207400560171422,34.044539534161203
1462335,-118.206035556165801,34.043162342209790
1464531,-118.201928585628636,34.041849849833405
1476465,-118.205742784080940,34.042683647358793
1476568,-118.205381673357039,34.042887390711691
1487691,-118.203609434594284,34.042585514571641
1495277,-118.201042214013754,34.041679954279651
1511320,-118.200578292998898,34.041046003425897
1517117,-118.209506891243876,34.042273320412043
1542457,-118.201100170538126,34.043946541306290
1548882,-118.206891462454905,34.041638900406234
1560746,-118.204527926301779,34.041808175328441
1567693,-118.209585155357644,34.041834270582150
1571537,-118.206164884037662,34.044492145468730
1574448,-118.201449759454405,34.046150757910077
1574579,-118.201324940789945,34.044674811768367
1574648,-118.201798530713717,34.041845710477759
1590522,-118.204991769568380,34.045650753361272
1590650,-118.209010213066463,34.043457773925013
1594122,-118.201809268923441,34.046753260260125
1602213,-118.201518274657914,34.043174112400507
1614622,-118.202682778790944,34.046468762895216
1621740,-118.201577949590913,34.044639873730475
1626011,-118.209563322353958,34.043501030535332
1628453,-118.206279186727741,34.041547514411981
1630257,-118.203382267495101,34.043989152573751
1630941,-118.203451171502522,34.041504890848771
1631582,-118.200599230077927,34.045298740473633
1651625,-118.204932670397042,34.046067969020491
1652943,-118.209709556528637,34.041897976803135
1654098,-118.203376015427523,34.041245904980585
1658191,-118.208374563937980,34.042636162165103
1663319,-118.202795363225675,34.043854214115498
1670481,-118.203458027534126,34.046591036088472
1672971,-118.203086221604963,34.043277816164142
1682684,-118.207372435520455,34.044848229464748
1690492,-118.204837746712727,34.043033405446081
1696699,-118.208213263766524,34.043178833771911
1700738,-118.208736868468606,34.042059048904072
1709672,-118.207249050457875,34.043480493383250
