FID,lon,lat
181415,-118.303165176539565,34.060280922509840
232312,-118.302737533626157,34.061648971171898
268805,-118.303161284252582,34.060026657439579
283306,-118.302131726418281,34.058170852893880
291871,-118.303226034261314,34.059160247044289
351163,-118.302748799779764,34.059836242756390
394898,-118.300684976210874,34.059641671596978
507738,-118.303874900736758,34.061626087706919
532947,-118.303201937294446,34.058435458804581
627271,-118.303724003794201,34.058565191159161
661770,-118.301789817521282,34.059619151997673
688126,-118.300897699943235,34.061224777083488
728938,-118.303912142862359,34.059813083891392
759320,-118.300677920969036,34.058754378992077
774981,-118.302996132920256,34.059855263790951
797262,-118.299929210576238,34.059108590263655
816816,-118.302690133751241,34.059826043073400
826775,-118.303464084465404,34.057723867275357
846291,-118.299928245189719,34.059471122506096
951089,-118.303297365996727,34.058299177494142
967778,-118.303701521567277,34.058370641777849
985566,-118.304117434608742,34.058360818352099
994914,-118.304118711061676,34.060990440429713
1025203,-118.303187409743927,34.060459242262752
1029969,-118.300881673705675,34.058048821492200
1062317,-118.301047675365353,34.058701768226008
1072903,-118.300918006651600,34.058724783975762
1085612,-118.302537122060883,34.058323469521632
1092681,-118.300876113561841,34.058535850244617
1095853,-118.301981085260962,34.060223132581598
1189021,-118.300369888582480,34.059017355882602
1214727,-118.300945225875566,34.059655149296717
1226014,-118.303696015746297,34.058435629474197
1258391,-118.302070073257639,34.058815388384765
1345968,-118.301170408446055,34.061627698071021
1374011,-118.300919494670566,34.058822162196655
1379253,-118.303223424641118,34.058565089545269
1380696,-118.301003013545895,34.060033291833108
1386701,-118.301923469443238,34.059006318648429
1506682,-118.301597663059326,34.060232604782797
1558043,-118.303227773391995,34.059273854856094
1566023,-118.303235970068400,34.058959943041337
1665990,-118.304125271384834,34.059296799024672
1667105,-118.301001400393901,34.058226109774104
1714198,-118.304158031577060,34.060162175036695
1746285,-118.304145208882375,34.061022623871906
1770889,-118.299916819940705,34.058297104759035
1809400,-118.301031513855918,34.059345821650254
1842437,-118.302048448983740,34.059951880192450
1946849,-118.301276432307802,34.057931016084510
1947808,-118.299903515280505,34.058703053777336
1982471,-118.304122630575819,34.059973173662001
1990380,-118.301055179471604,34.060043561136261
1995103,-118.301497432399316,34.060055110723901
2116781,-118.301581650898683,34.059610535273187
2143919,-118.301397897191478,34.060348346608848
2208525,-118.304123092062085,34.060427673650153
2216263,-118.304093211339321,34.058052661263105
2267766,-118.301454162737514,34.058075225099699
2302736,-118.302080121841385,34.059897436882643
2435592,-118.300496722924635,34.059659896158003
2473625,-118.303356294011280,34.061723572022849
2481149,-118.300963454804474,34.059146343418846
2499823,-118.301698899719980,34.059625525784341
2558917,-118.302085003834847,34.060216620836620
2569516,-118.304141230681537,34.060762949039201
2570861,-118.302102674924555,34.060946888067427
2570999,-118.301489575194395,34.059541170316905
2772835,-118.301068053232925,34.058333619708520
2812055,-118.301041372163638,34.059140107809398
2819885,-118.302093241602677,34.060330159811819
2886416,-118.300551285338514,34.059827052815187
2898288,-118.303766068886461,34.058764943560959
2923262,-118.300919825342433,34.058843801801089
3002822,-118.301513955077439,34.059860147853811
3003348,-118.300678416883599,34.058786838402170
3006609,-118.301741539753806,34.059863148233376
3007623,-118.302219068179042,34.059630836740169
3013423,-118.301801198436863,34.059938267150443
3021545,-118.299922958389843,34.059124888724732
3047290,-118.301651111102913,34.057775546653403
3176025,-118.301041466848005,34.060422460548203
3231945,-118.301066405371003,34.061628799184405
3238315,-118.299904919534725,34.058795022134518
3238721,-118.302146657540561,34.059572085460623
3280184,-118.303233319982951,34.058786826366564
3375839,-118.299912632869137,34.058448650812053
3472200,-118.300498954311436,34.059805963490966
3477557,-118.302267961446518,34.059852160405612
3489786,-118.302124389905956,34.058966314611240
3501470,-118.301955958847046,34.059855466117348
3530637,-118.301604211430558,34.059810495008023
3561856,-118.300145280434862,34.059209109399433
